Author,Exclude
"Chorus Words & Music: Tim Hughes 
Verses: Isaac Watts (1674-1748)",0
"Chris Bowater",0
"Chris Bowater & David Lyon",0
"Chris Eaton & John Hartley",0
"Chris McClarney",0
"Chris McClarney & Anthony Skinner",0
"Chris McClarney, Anthony Skinner & Chad Cates",0
"Chris McClarney, Anthony Skinner & Joseph Ensminger",0
"Chris McClarney, Dave Fitzgerald, John Loux",0
"Chris McClarney, John Hartley, Miriam Webster, Michael Tyler, Kees Kraayenoord, Henk Pool",0
"Chris McClarney, Mark Woodward & Anthony Skinner (On optional verse only)",0
"Chris Medway",0
"Chris Norton",0
"Chris Sayburn",0
"Chris Tomlin",0
"Chris Tomlin & Ed Cash",0
"Chris Tomlin & Jesse Reeves",0
"Chris Tomlin & Louie Giglio",0
"Chris Tomlin & Seth Walker",0
"Chris Tomlin / Ed Cash / Jesse Reeves",0
"Chris Tomlin and Daniel Carson",0
"Chris Tomlin and J.D. Walt",0
"Chris Tomlin, Cary Pierce, Ed Cash",0
"Chris Tomlin, Daniel Carson, Ed Cash, Jesse Reeves",0
"Chris Tomlin, Daniel Carson, Jesse Reeves, Matt Gilder, Travis Nunn",0
"Chris Tomlin, Daniel Carson, Jesse Reeves, Matt Maher",0
"Chris Tomlin, Ed Cash & Jesse Reeves",0
"Chris Tomlin, Ed Cash & Stephen Sharp",0
"Chris Tomlin, Ed Cash, Matt Redman,",0
"Chris Tomlin, Jesse Reeves",0
"Chris Tomlin, Jesse Reeves & Ed Cash",0
"Chris Tomlin, Jesse Reeves, Cary Pierce & Jon Able",0
"Chris Tomlin, Jesse Reeves, Louie Giglio, Matt Gilder, Matt Redman",0
"Chris Tomlin, Jesse Reeves, Louie Giglio, Matt Maher",0
"Chris Tomlin, John Michael Clement & Jesse Reeves",0
"Chris Tomlin, Louie Giglio & Ed Cash",0
"Chris Tomlin, Louie Giglio & Jesse Reeves",0
"Chris Tomlin, Matt Maher & Ed Cash",0
"Chris Tomlin, Matt Maher& Ed Cash",0
"Chris Tomlin, Sean Craig & Jesse Reeves",0
"Chrissie Pepper",0
"Chrissy Pepper",0
"Christ McClarney, John Hartley & Aaron Keyes",0
"Christ McClarney, John Hartley& Aaron Keyes",0
"Christina G. Rossetti",0
"Christina Georgina Rossetti (1830-94)",0
"Christina Rossetti (1830-94)",0
"CHRISTINA ROSSETTI (1830-94) altd.",0
"CHRISTOPHER SMART (1722-7l)",0
"Christopher Wordsworth",0
"CHRISTOPHER WORDSWORTH (1807- )",0
"Christopher Wordsworth (1807-85)",0
"CHRISTOPHER WORDSWORTH (1807-85) altd.",0
"Christy and Nathan Nockels",0
"Christy Nockels",0
"Christy Nockels/Nathan Nockels",0
"Claire Morgans",0
"Claudia F. Hernaman (1838-98)",0
"CLEMENT OF ALEXANDRIA (c.170-?220)",0
"Clive Stanley",0
"COLIN HODGETTS",0
"Colin Pye",0
"CompassionArt",0
"D W Whittle (1840-1901) based on 2 Timothy 1:12",0
"Dan Wheeler",0
"Dan Wheeler & Cathy Burton",0
"Dan Wheeler, Nathan Fellingham & Marc James",0
"Daniel Iverson & Matt Redman",0
"Daniel W Whittle (El Nathan) (1840-1901)",0
"Daniel W. Whittle",0
"Daniel Webster Whittle",0
"Darlene Zschech",0
"Darlene Zschech & Mike Guglielmucci",0
"Darlene Zschech & Russell Fragar",0
"Darlene Zschech.",0
"Dave & James Middleton",0
"Dave Bankhead",0
"Dave Bilborough",0
"Dave Bilbrough",0
"Dave Bilbrough.",0
"Dave Blaylock",0
"Dave Bolton",0
"Dave Bryant",0
"Dave Clifton/Noel Richards",0
"Dave Fellingham",0
"Dave George",0
"Dave George & Dave Kennedy",0
"Dave George / Grant Pankratz",0
"Dave George / Grant PankratzCopyright (c) 2007 Dave George/Hillsong Publishing & HarvestOKC Music",0
"Dave George and Grant Pankratz",0
"Dave Middleton",0
"Dave Middleton & Hannah Holland",0
"Dave Richards",0
"David & Yvonne Lyon",0
"David André Østby",0
"David Churchyard",0
"David Crowder",0
"David Crowder & Jack Parker",0
"David Crowder / Mike Hogan / Jason Solley ",0
"David Crowder, Chris Tomlin & Louie Giglio",0
"David Crowder, Jack Parker & Mike Dodson",0
"David Crowder, Jack Parker, Jason Solley, Jeremy Bush, Mike Dodson & Mike Hogan",0
"David Crowder, Jack Parker, Jeremy Bush & Mike Hogan",0
"David Crowder, Mike Hogan,& Jason Solley",0
"David Crowder, Patrick Dodd, Jeremy Bush & Mike Dodson",0
"David Crowder/Patrick Dodd/Jeremy Bush/Mike Dodson",0
"David Fellingham",0
"David Fellingham.",0
"David Gate",0
"David Holmes & Darlene Zschech",0
"David J. Evans",0
"David Kennedy & Jay Cook",0
"David Lyon",0
"David Ostby",0
"David Ruis and Eoghan Heaslip",0
"David Wakerley / Beci Wakerley / Julia A'Bell",0
"Delirious? & Matt Redman",0
"Derri Daugherty, Katie Gustafson & John Hartley",0
"DONALD WYNN HUGHES (1911-67) altd.",0
"Dora Greenwell (1821-82)",0
"Dorothy Frances Gurney (1858-1932) alt.",0
"Doug Horley",0
"Doug Horley & Efrem Buckle",0
"Doug Horley & George Mhondera",0
"Doug Horley & Louise Fellingham",0
"Doug Horley & Mark Read",0
"Doug Horley & Mark Read Rap: Efrem Buckle",0
"Doug Horley & Noel Richards.",0
"Doug Horley & Steve Whitehouse",0
"Doug Horley / Mark Read / Nick Haigh / Rob Critchley ",0
"Doug Horley Rap: Efrem Buckle",0
"Doug Horley, Efrem Buckle",0
"Doug Horley, Jonathan Roddick & Pete Bignall",0
"Doug Horley, Lindz West & George Mhondera",0
"Doug Horley, Mark Edwards & Mark Read",0
"Doug Horley, Mark Read & Lindz West",0
"Doug Horley, Mark Read and Steve Whitehouse",0
"Doug Horley, Mark Read, Pete Bignall & Jon Roddick",0
"Doug Horley, Pete Bignall & Jonathan Roddick",0
"Doug Horley, Pete Bignall and Jon Roddick",0
"Doug Horley, Steve Whitehouse & Pete Bignall",0
"Dougie Brown
",0
"Duncan MacCregor (1854-1923)",0
"Dylan Thomas",0
"E. H. Bickersteth (1825-1906)",0
"E. H. Plumptre (1821-91)",0
"E. H. Sears",0
"E. H. Sears (1810-1876)",0
"E. Lange tr. John Wesley",0
"E.H. Plumptre (1821-91) 
Adapt.and new music by Keith Getty",0
"E.H. Plumptre (1821-91) Adapt. and new music by Keith Getty",0
"Ed Cash Jesse Reeves & Chris Tomlin",0
"Ed Cash/Chris Tomlin",0
"EDMOND BUDRY (1854-1932)",0
"Edmund Banyard (1920- )",0
"Edward Caswall",0
"Edward Caswall (1814-1874)",0
"EDWARD CASWALL (1814-78) altd.",0
"Edward Caswell
17th-cent. Latin, based on a 16th-cent. Spanish po",0
"Edward Cooper. (1770-1833)",0
"Edward Denny (1796-1889)",0
"Edward H. Bickersteth",0
"Edward Henry Bickersteth (1825-1906)",0
"Edward Mote (1797-1874)Adpt. Paul Baloche & Brenton Brown",0
"Edward Payson Hammond (1831-1910)",0
"Edward Perronet (1726 - 92)Revised by John Rippon (1751 - 1836)",0
"Edward Perronet (1726-92)/John Rippon (1751-1836)",0
"Edwin Brown",0
"Edwin Hatch (1835-89)",0
"EH Plumptre 1821-1891",0
"ELISABETH R. CHARLES (1828-96) altd.",0
"Elisha A. Hoffman",0
"Elisha A. Hoffman (1839-1929)",0
"Elisha Albright Hoffman",0
"Elisha Albright Hoffman (1839-1929)",0
"Eliza E. Hewitt",0
"Eliza Edmunds Hewitt (1851-1920)",0
"Eliza H Hamilton (fl.1878)",0
"Elizabeth C. Clephane (1830 - 69)",0
"Elizabeth Codner (1824-1919)",0
"Elwood H. Stokes (1815-95)",0
"Emily E. Hewitt",0
"Emily Elizabeth Steele Elliott (1836-97)",0
"Emily Huntington Miller (1833-1913)",0
"Emily May Crawford (1864-1927)",0
"Emma Frances Bevan (nèe Shuttleworth) (1827-1909)",0
"English Traditional",0
"Eoghan Heaslip",0
"Eoghan Heaslip & David Gate",0
"Eoghan Heaslip & David Ruis",0
"Eoghan Heaslip & Hanif Williams",0
"Eoghan Heaslip & Matt Redman",0
"Eoghan Heaslip & Matt Weeks",0
"Eoghan Heaslip & Neil Bennetts",0
"Eoghan Heaslip/Nick Herbert/Nicole Brown",0
"Ernest Edward Dugmore (1843-1925) alt.",0
"Evan Rogers",0
"Evan Rogers & Nathan Fellingham",0
"F. Bland Tucker (1895-",0
"F. Bland Tucker (1895- ) and others",0
"F. Bland Tucker (1895-)",0
"F. C. Burkitt (1864-1935)",0
"F. C. MAKER (1844-1927)",0
"F. M. NORTH (1850-1935) altd.",0
"F. S. Fuller-Maitland (1809-77)",0
"F. S. Pierpoint",0
"F. T. PALGRAVE (1824-97)",0
"F. W. EDDIS (1825-1905)",0
"F. W. H. MYERS (1843-1901)",0
"Fanny Crosby (1820-1915)",0
"Fanny J Crosby (1820-1915)",0
"Fanny J Crosby (1820-1915)/Arr.& add.lyrics by Chris Tomlin & Matt Redman",0
"Fanny J. Crosby",0
"Fanny J. Crosby and Ada R. Habershon",0
"Frances Jane van Alstyne (Fanny Crosby) (1820-1915",0
"Frances Jane van Alstyne (Fanny Crosby) (1820-1915)",0
"Frances R Havergal (1836-1879)",0
"Frances R Havergal (1836-1879)
Adpt.& New Music Paul Oakley",0
"Frances R Havergal (1836-1879)Adpt.& New Music Paul Oakley",0
"Frances R Havergall (1836-1879)",0
"Frances R, Havergal",0
"Frances R. Havergal",0
"Frances Ridley Havergal",0
"Francis A Blackmer (1855-1930)",0
"Francis Bottome",0
"Francis Bottome (1823-1894)",0
"Francis R. Havergal",0
"Francis Turner Palgrave (1824-97)",0
"Frank Mason NORTH (1850-1935) altd.",0
"Fred Dunn",0
"Freda Hanbury Alien",0
"Freda Hanbury Allen",0
"Frederick W. Faber",0
"Frederick Whitfield",0
"Frederick Whitfield (1829-1904)",0
"Frederick William Faber (1814-63) alt.",0
"Frederick William Faber (1814-63), alt George Scot",0
"from a Book of Hours, Sarum, 1514",0
"from a prayer sometimes attr. to ST FRANCIS (1182-",0
"from Nada te turbe' ST TERESA OF AVILA (1515-82)",0
"from the Hebrew Yigdal, c. 13th cent.",0
"from the Liturgy of St James, c. 4th cent.",0
"Fulbert of Chartres (d. 1028)",0
"G. H. Bourne (1840-1925)",0
"G. K. A. BELL (1883-1958)*",0
"G. K. Chesterton (1874-1936)",0
"G. R. WOODWARD (1848-1934) altd",0
"G. Y. Tickle (1819-88)",0
"Gareth Paul Taylor",0
"Gareth Robinso",0
"Gareth Robinson",0
"Gareth Robinson & Joannah Oyeniran",0
"Gareth Robinson, John Hartley & Steve Hindalong",0
"Gareth Scott",0
"Gary Clarke & Peter Wilson",0
"Geoff Britt",0
"Geoff Bullock",0
"Geoffrey Anketell Studdert-Kennedy (1883-1929)",0
"GEOFFREY GARDNER",0
"George Bennard",0
"George Croly (1780-1860)",0
"George F. Root",0
"George Frederick Root (1820-1895)",0
"George Frederick Root (1820-95)",0
"George Herbert",0
"GEORGE HERBERT (1593-1633)",0
"GEORGE HERBERT (1593-1633) altd.",0
"George MacDonald (1824-1905) alt.",0
"George Matheso",0
"George Matheson",0
"GEORGE MATHESON (1842-1906)",0
"George Rawson",0
"George Rawson (1807-89)",0
"George Smyttan (1822-70) and Francis Pott (1832-19",0
"George Stringer Rowe (1830-1913)",0
"George W. Doane",0
"George W. Doane (1799-1859)",0
"George Walker Whitcomb (fl.1910)",0
"George William Conder (1821-74)",0
"GEORGE WITHER (1588-1667)",0
"Gerald Coates & Noel Richards.",0
"Gerald Coates, Noel & Tricia Richards",0
"Geraldine Latty",0
"Geraldine Latty & Andrew Small",0
"Geraldine Latty & busbee",0
"Geraldine Latty & Carey Luce",0
"Geraldine Latty & Mike Pears",0
"Geraldine Latty & Nicky Brown",0
"Geraldine Latty and busbee",0
"Geraldine Latty and Carey Luce",0
"Geraldine Latty, Matt Weeks & Matt Redman",0
"Gerhard Tersteegen (1697-1769) translated Emma Fra",0
"German 15th cent.",0
"German carol, 15th cent.",0
"Germanus (c. 634-734) tr. John Mason Neale (1818-6",0
"Gill Broomhall",0
"Gio Galanti & Jay Cook",0
"Gio Galanti & Paul Nevison",0
"Gio Galanti / Christian Fontana",0
"Gloria & William J Gaither.",0
"Godfrey & Gill Birtill",0
"Godfrey & Gill Birtill, Geraldine Latty & Tim Lomax",0
"Godfrey Birtill",0
"Godfrey Birtill & Dale Gentry",0
"Godfrey Birtill & Jack Groblewski",0
"Godfrey Birtill & Martin Scott",0
"Godfrey Thring (1823-1903)",0
"Godfrey Tring (1823-1903)",0
"Graeme Clark",0
"Graham & Alyson Tucker",0
"Graham Kendrick",0
"Graham Kendrick
",0
"Graham Kendrick & Chris Rolinson",0
"Graham Kendrick & Tré Sheppard",0
"Graham Kendrick / Arr. David Peacock",0
"Graham Kendrick / Chris Rolinson",0
"Graham Kendrick.",0
"Greek liturgy, 4th-5th cent.",0
"H L Turner (fl. 1878)",0
"H. BONAR (1808-89) altd.",0
"H. C. A. GAUNT (1902-83)",0
"H. C. A. GAUNT (1902-83)*",0
"H. F. LYTE (1793-1847) altd.",0
"H. H. Milman & Frances R. Havergal",0
"H. Montagu Butler (1833-1918)",0
"H. W. BAKER (1821-77) altd.",0
"HALLGRIM PJETURSSON (1614-74)",0
"Hebrews 4:14-16,",0
"Helen Lemmel",0
"Henriette Auber (1773-1862)",0
"Henry Alford (1810-71)",0
"Henry Barraclough",0
"Henry Burton (1840-1930)",0
"Henry Downton",0
"Henry Downton (1818-1885)",0
"Henry Ernest Nichol (1862-1926)",0
"Henry F Lyte (1793-1847)",0
"Henry F. Lyte",0
"Henry Francis Lyte (1793-1847)",0
"Henry Scott Holland (1847-1918) alt.",0
"Henry Twells (1823-1900)",0
"Henry Williams Baker",0
"Henry Williams Baker (1821-77)",0
"Henry Williams Baker.",0
"Horatius Bonar",0
"Horatius Bonar (1808-1889)",0
"Horatius Bonar (1808-89)",0
"Horatius Bonar.",0
"Howard Kingsbury (c. 1850)",0
"Hughes(d1932)/W.Williams(d1791)/P.Williams(d1796)",0
"Ian & Irene Smale",0
"Ian & Stuart Townend",0
"Ian Hannah",0
"Ian Hannah, Andy Rogers & Caroline Bonnett",0
"Ian McGillivray",0
"Ian Smale",0
"Ian Smale.",0
"Ian Stewart",0
"Ian White, Phil Madeira & John Hartley",0
"Ian Yates",0
"Iona Community",0
"Ira D Sankey (1840-1908)",0
"Irish Psalter (1880)",0
"Isaac Watts",0
"Isaac Watts (1674-17148)",0
"Isaac Watts (1674-1748)",0
"Isaac Watts (1674-1748) 
based on Psalm 72: 5-19",0
"Isaac Watts (1674-1748) alt.",0
"ISAAC WATTS (1674-1748) altd.",0
"Isaac Watts (1674-1748) based on Psalm 72: 5-19",0
"Isaac Watts and W. W. Shirley",0
"Isaac Watts and William Cameron",0
"Isaac Watts.",0
"Ishmael",0
"J D Bullen",0
"J Darren Bullen",0
"J G WHITTIER (1807-92)",0
"J M Harris (1867-1934)",0
"J M Haydn (1737-1806), R Grant (1779-1838) 
& Arr. Chris Tomlin",0
"J M Haydn (1737-1806), R Grant (1779-1838) & Arr. Chris Tomlin",0
"J. Byrom, altd",0
"J. E. Bode (1816-74)",0
"J. H. B. Masterman (1867-1933)",0
"J. H. Hopkins",0
"J. H. NEWMAN (1801-90)",0
"J. S. B. MONSELL (1811-75)",0
"J. W. CHADWICK (1840-1904)",0
"J. Wilbur Chapman",0
"J.Ezzy, D. Grul, S. McPherson.
",0
"Jack Mooring, Leeland Mooring & Marty Sampson",0
"Jack Parker, David Crowder & Mike Hogan",0
"Jacob Wakefield MacGill (1829-1902)",0
"Jad Gillies, Joel Houston & Reuben Morgan",0
"James Ashcroft Noble (1844-96)",0
"James Connor Bateman (1854-1888)",0
"James Drummond Burns (1823-64)",0
"James Edmeston (1791-1867) alt",0
"James G Deck (1807-1884)",0
"James G. Deck",0
"James George Deck (1807-1884)",0
"James Gregory & Guy Bastable",0
"James M. Gray (1851-1935)",0
"James McCranahan",0
"James McGranahan (1840-1907)",0
"James Montgomery",0
"James Montgomery (1771-1845) 
Arr. Jackie Williams",0
"James Montgomery (1771-1845)Arr. Jackie Williams",0
"James Montgomery (1771-1854)",0
"James Montgomery (1771-1854) Adpt. Godfrey Birtill",0
"James Montgomery (1771-1854) alt.",0
"JAMES MONTGOMERY (1771-1854)*",0
"James Montgomery (1771-1854)Adpt. Godfrey Birtill",0
"James Montgomery.",0
"James Newton (1732-90)",0
"James Rogers",0
"James Taylor",0
"James Wright",0
"Jarrod Cooper & Carol Owen",0
"Jay Cook",0
"Jay Cook & Dave Kennedy",0
"Jay Cook & Gio Galanti",0
"Jean Sophia Piggot",0
"Jean Sophia Pigott",0
"JEAN TISSERAND (d. 1494)",0
"Jenny Hewer",0
"Jenny Oliver",0
"Jeremiah E. Rankin",0
"Jeremiah Eames Rankin (1828-1904)",0
"Jess Humphries",0
"Jessica Warne",0
"Jessie B Pounds (1861-1921)",0
"Jessie Seymour Irvine",0
"Jill McCloghry",0
"Jim Bailey",0
"Jim Bailey.",0
